2022-03-14 오전 9:33:42 | 수집 작업을 시작합니다.
2022-03-14 오전 9:33:43 | 2022-03-14 09:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:03:44 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:13:44 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:23:45 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:33:45 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:43:46 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 10:53:46 | 2022-03-14 10:00 미세먼지 데이터를 수집합니다.
2022-03-14 오전 11:03:45 | 2022-03-14 11:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 12:03:48 | 2022-03-14 12:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 1:03:50 | 2022-03-14 13:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 2:04:10 | 2022-03-14 14:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 3:04:31 | 2022-03-14 15:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 4:04:33 | 2022-03-14 16:00 미세먼지 데이터를 수집합니다.
2022-03-14 오후 5:04:37 | 2022-03-14 17:00 미세먼지 데이터를 수집합니다.
2022-03-15 오전 10:25:06 | 2022-03-15 10:00 미세먼지 데이터를 수집합니다.
2022-03-15 오전 11:16:12 | 2022-03-15 11:00 미세먼지 데이터를 수집합니다.
2022-03-15 오후 12:07:14 | 2022-03-15 12:00 미세먼지 데이터를 수집합니다.

